,genre,win,mac,linux,positive_ratio,price_final,title
103,Adventure,1,1,0,1.0405743101214904,67860.4795,Dead Secret
104,Adventure,1,0,0,1.1836532777631954,135766.2295,Outlast 2
105,Adventure,1,1,1,1.1446317411336395,0.0,Sepia Tears
106,Adventure,1,1,0,1.2096676355162326,30150.153000000002,We Know the Devil
107,Adventure,1,0,0,1.1706460988866767,54279.3295,Ace of Seafood
108,Adventure,1,0,0,1.1836532777631954,90495.7295,Halo Wars: Definitive Edition
109,Adventure,1,0,0,0.7153948382085247,13535.879500000001,The Phantom Limb Level Pack
110,Adventure,1,1,1,1.157638920010158,9008.8295,Euro Truck Simulator 2 - Dragon Truck Design Pack
111,Adventure,1,0,0,1.2096676355162326,90495.7295,de Blob 2
112,Adventure,1,1,1,1.1706460988866767,31644.079500000003,The Mooseman
113,Adventure,1,0,0,1.1966604566397139,13535.879500000001,ACE COMBAT™ 7: SKIES UNKNOWN - F-4E Phantom II + 3 Skins
114,Adventure,1,1,1,1.1706460988866767,9008.8295,Farm Together - Supporters Pack
115,Adventure,1,1,0,1.1966604566397139,31644.079500000003,Genital Jousting
116,Adventure,1,1,0,1.0145599523684532,45225.2295,Dear Esther: Landmark Edition
117,Adventure,1,1,1,1.1446317411336395,45225.2295,Demon Hunter 3: Revelation
118,Adventure,1,1,0,1.1056102045040834,45225.2295,Please Don't Touch Anything 3D
119,Adventure,1,1,1,1.0405743101214904,67860.4795,Vigilantes
120,Adventure,1,0,0,0.910502521356304,45225.2295,A-10C: Advanced Aircraft Training Qualification Campaign
121,Adventure,1,0,0,1.1706460988866767,45225.2295,The Legend of Dark Witch 2 （魔神少女エピソード２）
122,Adventure,1,0,0,1.1186173833806021,271577.7295,Assassin's Creed® Origins
123,Adventure,0,0,0,1.0405743101214904,45225.2295,Rain World - Soundtrack
124,Adventure,1,1,1,1.157638920010158,90495.7295,Bendy and the Ink Machine
125,Adventure,1,1,0,1.1316245622571208,135766.2295,Rytmik Studio
